title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Toyota Yaris Hsd 1.5 City,9.500€,2016,40.000 km,100 cv en Madrid,"Automática continua, secuencial",5 puertas,5,100 cv,Blanco,75 gr/m,Híbrido,SÍ,Profesional,Berlina,151 cm,389 cm,170 cm,286 l,165 km/h,"3,1 l","3,3 l","3,3 l",1.025 kg,36 l,"11,8 s"
Mercedes Clase A A 35 Amg 4matic+ 7g-dct,43.890€,2019,24.000 km,306 cv en Salamanca,Automática secuencial,5 puertas,5,306 cv,Blanco,167 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,444 cm,180 cm,370 l,250 km/h,"9,3 l","6,1 l","7,3 l",1.555 kg,51 l,"4,7 s"
Mercedes Clase A A 250e 8g-dct,35.900€,2020,1.500 km,218 cv en Tenerife,Automática secuencial,5 puertas,5,218 cv,Gris,32 gr/m,Híbrido,SÍ,Profesional,Berlina,145 cm,442 cm,180 cm,310 l,235 km/h,"0,0 l","0,0 l","1,4 l",1.680 kg,35 l,"6,6 s"
Volkswagen Polo 1.0 Tsi Sport 70kw,8.990€,2017,53.000 km,"95 cv en Palmas, Las",Manual,5 puertas,5,95 cv,Blanco,106 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,405 cm,175 cm,355 l,187 km/h,"5,5 l","4,0 l","4,6 l",1.145 kg,40 l,"10,8 s"
Dacia Sandero 1.0 Ambiance 55kw,5.990€,2018,33.600 km,"75 cv en Palmas, Las",Manual,5 puertas,5,75 cv,Blanco,117 gr/m,Gasolina,SÍ,Profesional,Berlina,152 cm,406 cm,173 cm,320 l,0 km/h,"6,8 l","3,7 l","5,3 l",969 kg,50 l,"0,0 s"
Audi Q5 3.0tdi Quattro S-tronic 245,23.900€,2015,83.000 km,245 cv en Badajoz,Automática secuencial,5 puertas,5,245 cv,Azul,169 gr/m,Diesel,SÍ,Profesional,Todo Terreno,166 cm,463 cm,190 cm,540 l,225 km/h,"7,1 l","6,0 l","6,4 l",1.960 kg,75 l,"6,5 s"
Seat Exeo St 2.0tdi Cr Style Ecomotive,4.950€,2013,208.000 km,120 cv en Girona,Manual,5 puertas,5,120 cv,Negro,119 gr/m,Diesel,SÍ,Profesional,Stationwagon,145 cm,467 cm,177 cm,442 l,197 km/h,"5,6 l","3,9 l","4,5 l",1.565 kg,70 l,"10,9 s"
Smart Fortwo Coupé Eq,13.500€,2019,1.950 km,82 cv,Automática,3 puertas,2,82 cv,Rojo,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,230 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.085 kg,0 l,"11,5 s"
Audi Q5 2.0tdi Quattro 170 Dpf,11.990€,08/2010,206.174 km,170 cv,Manual,5 puertas,5,170 cv,Gris,163 gr/m,Diesel,SÍ,Profesional,Todo Terreno,165 cm,463 cm,188 cm,540 l,204 km/h,"8,2 l","5,8 l","6,7 l",1.805 kg,75 l,"9,5 s"
Audi A4 35 Tdi S Line S Tronic 120kw,38.000€,01/2020,10 km,163 cv en Murcia,Automática secuencial,4 puertas,5,163 cv,Blanco ibis,106 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,476 cm,185 cm,460 l,228 km/h,"4,3 l","3,6 l","3,9 l",1.570 kg,54 l,"8,2 s"
