title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Citroen Ds5 Ds5 Hybrid4 Airdream Design Cmp,13.999€,2014,99.000 km,200 cv en Madrid,Automática,5 puertas,5,200 cv,Azul,85 gr/m,Híbrido,SÍ,Profesional,Berlina,150 cm,453 cm,187 cm,468 l,211 km/h,"2,9 l","3,5 l","3,3 l",1.735 kg,60 l,"8,6 s"
Skoda Superb 2.0tdi Adblue Active 110kw,15.400€,2018,46.461 km,150 cv en Ciudad Real,Manual,5 puertas,5,150 cv,Negro,113 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,486 cm,186 cm,625 l,220 km/h,"4,8 l","3,7 l","4,1 l",1.485 kg,66 l,"8,8 s"
Mercedes Clase E E 220d 9g-tronic 194,35.480€,01/2020,2.760 km,194 cv en Malaga,Automática secuencial,4 puertas,5,194 cv,Blanco,118 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,492 cm,185 cm,540 l,240 km/h,"6,0 l","3,2 l","4,5 l",1.715 kg,66 l,"7,3 s"
Audi A5 Sportback 2.0tdi 140kw,24.500€,2017,60.000 km,190 cv en Pontevedra,Automática,5 puertas,5,190 cv,Gris,114 gr/m,Diesel,SÍ,Profesional,Berlina,139 cm,473 cm,184 cm,480 l,238 km/h,"5,2 l","3,8 l","4,4 l",1.500 kg,54 l,"7,9 s"
Bmw Serie 5 530da,18.950€,2013,119.255 km,258 cv en Madrid,Automática secuencial,4 puertas,5,258 cv,Azul,134 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,491 cm,186 cm,520 l,250 km/h,"6,0 l","4,6 l","5,1 l",1.710 kg,70 l,"5,8 s"
Bmw Serie 3 320da Gran Turismo,27.000€,02/2018,30.000 km,190 cv en Zamora,Automática secuencial,5 puertas,5,190 cv,Blanco,128 gr/m,Diesel,SÍ,Profesional,Berlina,151 cm,482 cm,183 cm,520 l,226 km/h,"5,4 l","4,6 l","4,9 l",1.650 kg,57 l,"7,8 s"
Bmw Serie 3 325d Luxury,20.290€,2015,12.500 km,218 cv en Madrid,Automática,4 puertas,5,218 cv,Azul,129 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,462 cm,181 cm,480 l,245 km/h,"6,2 l","4,2 l","4,9 l",1.475 kg,57 l,"6,8 s"
Porsche Panamera 4s Diesel Aut.,93.000€,2017,47.500 km,422 cv en Asturias,Automática secuencial,5 puertas,4,422 cv,Blanco,176 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,505 cm,194 cm,495 l,285 km/h,"7,9 l","5,8 l","6,7 l",2.050 kg,75 l,"4,5 s"
Peugeot 508 2.0hdi Business Line 140,9.490€,2013,111.000 km,140 cv en Madrid,Manual,4 puertas,5,140 cv,Azul,115 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,479 cm,185 cm,431 l,210 km/h,"5,9 l","3,6 l","4,4 l",1.505 kg,72 l,"9,8 s"
Bmw Serie 5 520da,17.990€,2016,100.000 km,190 cv en Sevilla,Automática secuencial,4 puertas,5,190 cv,Azul,109 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,491 cm,186 cm,520 l,233 km/h,"4,9 l","3,7 l","4,1 l",1.630 kg,70 l,"7,7 s"
Bmw Serie 3 330ia,34.500€,2019,30.000 km,258 cv en Girona,Automática secuencial,4 puertas,5,258 cv,Negro,129 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,471 cm,183 cm,480 l,250 km/h,"7,1 l","4,8 l","5,6 l",1.470 kg,59 l,"5,8 s"
Mercedes Clase E E 220d 9g-tronic 194,35.900€,2019,7.900 km,194 cv,Automática secuencial,4 puertas,5,194 cv,Gris,118 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,492 cm,185 cm,540 l,240 km/h,"6,0 l","3,2 l","4,5 l",1.715 kg,66 l,"7,3 s"
Toyota Avensis 150d Advance,11.900€,2016,116.000 km,143 cv en Badajoz,Manual,4 puertas,5,143 cv,Gris,119 gr/m,Diesel,SÍ,Profesional,Berlina,148 cm,475 cm,181 cm,509 l,200 km/h,"5,7 l","3,8 l","4,5 l",1.470 kg,60 l,"9,5 s"
