title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Toyota Yaris Hsd 1.5 City,9.500€,2016,40.000 km,100 cv en Madrid,"Automática continua, secuencial",5 puertas,5,100 cv,Blanco,75 gr/m,Híbrido,SÍ,Profesional,Berlina,151 cm,389 cm,170 cm,286 l,165 km/h,"3,1 l","3,3 l","3,3 l",1.025 kg,36 l,"11,8 s"
Mercedes Clase A A 35 Amg 4matic+ 7g-dct,43.890€,2019,24.000 km,306 cv en Salamanca,Automática secuencial,5 puertas,5,306 cv,Blanco,167 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,444 cm,180 cm,370 l,250 km/h,"9,3 l","6,1 l","7,3 l",1.555 kg,51 l,"4,7 s"
Mercedes Clase A A 250e 8g-dct,35.900€,2020,1.500 km,218 cv en Tenerife,Automática secuencial,5 puertas,5,218 cv,Gris,32 gr/m,Híbrido,SÍ,Profesional,Berlina,145 cm,442 cm,180 cm,310 l,235 km/h,"0,0 l","0,0 l","1,4 l",1.680 kg,35 l,"6,6 s"
Toyota Yaris 1.5 Active,8.800€,2017,59.841 km,111 cv en Cadiz,Manual,3 puertas,5,111 cv,Blanco,116 gr/m,Gasolina,SÍ,Profesional,Berlina,151 cm,395 cm,170 cm,286 l,175 km/h,"6,5 l","4,3 l","5,1 l",1.045 kg,42 l,"11,0 s"
Honda Insight 1.3i-vtec Ima Elegance,6.500€,2011,114.000 km,98 cv en Malaga,Automática continua,5 puertas,5,98 cv,Gris,101 gr/m,Híbrido,SÍ,Profesional,Berlina,143 cm,440 cm,170 cm,408 l,182 km/h,"4,6 l","4,2 l","4,4 l",1.204 kg,40 l,"12,5 s"
Volkswagen Polo 1.0 Tsi Sport 70kw,8.990€,2017,53.000 km,"95 cv en Palmas, Las",Manual,5 puertas,5,95 cv,Blanco,106 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,405 cm,175 cm,355 l,187 km/h,"5,5 l","4,0 l","4,6 l",1.145 kg,40 l,"10,8 s"
Dacia Sandero 1.0 Ambiance 55kw,5.990€,2018,33.600 km,"75 cv en Palmas, Las",Manual,5 puertas,5,75 cv,Blanco,117 gr/m,Gasolina,SÍ,Profesional,Berlina,152 cm,406 cm,173 cm,320 l,0 km/h,"6,8 l","3,7 l","5,3 l",969 kg,50 l,"0,0 s"
Seat Ibiza 1.2 Tsi Style,5.890€,2016,85.731 km,"90 cv en Palmas, Las",Manual,5 puertas,5,90 cv,Gris,116 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,406 cm,169 cm,292 l,184 km/h,"6,4 l","4,0 l","4,9 l",1.089 kg,45 l,"10,7 s"
Hyundai Accent 1.4,2.950€,2006,13.500 km,"97 cv en Palmas, Las",Manual,4 puertas,5,97 cv,Gris,146 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,428 cm,170 cm,390 l,177 km/h,"8,0 l","5,1 l","6,2 l",1.058 kg,45 l,"12,3 s"
Alfa Romeo Giulietta 1.7 Tbi Quadrifoglio Verde,10.500€,2012,160.000 km,235 cv en Alicante,Manual,5 puertas,5,235 cv,Negro,177 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,435 cm,180 cm,350 l,242 km/h,"10,8 l","5,8 l","7,6 l",1.395 kg,60 l,"6,8 s"
