title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Dacia Lodgy 1.2 Tce Laureate 7pl. 115,7.990€,2017,21.440 km,115 cv en Illes Balears,Manual,5 puertas,7,115 cv,Blanco,124 gr/m,Gasolina,SÍ,Profesional,Monovolumen,166 cm,450 cm,175 cm,207 l,179 km/h,"6,6 l","4,8 l","5,5 l",1.205 kg,50 l,"10,6 s"
Mercedes Clase B B 180d,14.500€,2018,103.900 km,109 cv en Cadiz,Manual,5 puertas,5,109 cv,Negro,104 gr/m,Diesel,SÍ,Profesional,Monovolumen,156 cm,439 cm,179 cm,488 l,190 km/h,"4,3 l","3,6 l","4,0 l",1.420 kg,50 l,"11,6 s"
Citroen Berlingo Bluehdi S&s Talla M Live 100,15.500€,2019,6.307 km,100 cv en Sevilla,Manual,5 puertas,5,100 cv,Blanco,107 gr/m,Diesel,SÍ,Profesional,Monovolumen,184 cm,440 cm,185 cm,775 l,152 km/h,"4,8 l","4,0 l","4,1 l",1.635 kg,0 l,"0,0 s"
Ford C-max C-max 1.6 Ti-vct Trend 125,7.900€,2012,84.800 km,125 cv en Madrid,Manual,5 puertas,5,125 cv,Gris,149 gr/m,Gasolina,SÍ,Profesional,Monovolumen,163 cm,438 cm,183 cm,432 l,188 km/h,"8,7 l","5,3 l","6,6 l",1.374 kg,55 l,"11,5 s"
Bmw Serie 2 218i Gran Tourer,17.400€,07/2018,52.321 km,140 cv en Valencia,Manual,5 puertas,5,140 cv,Azul,128 gr/m,Gasolina,SÍ,Profesional,Monovolumen,161 cm,457 cm,180 cm,645 l,205 km/h,"6,9 l","4,8 l","5,6 l",1.420 kg,51 l,"9,5 s"
Honda Jazz 1.5 I-mmd Confort,20.500€,2020,4.900 km,"109 cv en Coruña, A",Automática continua,5 puertas,5,109 cv,Blanco,82 gr/m,Híbrido,SÍ,Profesional,Monovolumen,153 cm,404 cm,169 cm,304 l,190 km/h,"2,4 l","4,3 l","3,6 l",1.300 kg,40 l,"11,2 s"
Peugeot Traveller 1.6bluehdi Business Compact 115,16.000€,2018,85.000 km,116 cv en Madrid,Manual,4 puertas,5,116 cv,Blanco,133 gr/m,Diesel,SÍ,Profesional,Monovolumen,189 cm,461 cm,192 cm,0 l,160 km/h,"5,6 l","5,0 l","5,2 l",1.625 kg,70 l,"13,4 s"
Chrysler Voyager 2.5 Crd Lx,2.500€,02/2005,219.955 km,140 cv en Lugo,Manual,5 puertas,7,140 cv,Azul,203 gr/m,Diesel,SÍ,Profesional,Monovolumen,175 cm,480 cm,200 cm,0 l,0 km/h,"9,7 l","6,5 l","7,7 l",1.960 kg,76 l,"12,6 s"
Dodge Journey 2.0crd Se 7 Plazas,6.990€,2009,183.000 km,140 cv en Madrid,Manual,5 puertas,7,140 cv,Rojo,171 gr/m,Diesel,SÍ,Profesional,Monovolumen,169 cm,489 cm,188 cm,167 l,190 km/h,"8,4 l","5,4 l","6,5 l",1.995 kg,86 l,"11,6 s"
Toyota Corolla Verso 2.2d4d Luna,4.900€,2006,132.743 km,136 cv en Castellon,Manual,5 puertas,7,136 cv,Gris,167 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,436 cm,177 cm,397 l,195 km/h,"8,0 l","5,3 l","6,3 l",1.475 kg,55 l,"10,0 s"
Citroen C4 Grand Picasso 1.6e-hdi Exclusive Cmp,7.750€,2013,115.254 km,112 cv en Madrid,Manual automatizada,5 puertas,7,112 cv,Negro,132 gr/m,Diesel,SÍ,Profesional,Monovolumen,169 cm,459 cm,183 cm,208 l,181 km/h,"5,4 l","4,8 l","5,0 l",1.510 kg,60 l,"13,5 s"
Ford C-max C-max 1.5tdci Business 120,10.300€,2017,100.000 km,120 cv en Almeria,Manual,5 puertas,5,120 cv,Blanco,110 gr/m,Diesel,SÍ,Profesional,Monovolumen,161 cm,438 cm,183 cm,471 l,184 km/h,"4,7 l","3,7 l","4,1 l",1.328 kg,53 l,"11,3 s"
Opel Zafira 1.4 T S-s Selective 140,12.200€,04/2017,66.963 km,140 cv en Valencia,Manual,5 puertas,7,140 cv,Azul,143 gr/m,Gasolina,SÍ,Profesional,Monovolumen,166 cm,467 cm,193 cm,152 l,197 km/h,"8,0 l","5,5 l","6,4 l",1.628 kg,58 l,"10,9 s"
Renault Modus Grand 1.6 Dynamique Aut.,5.990€,2008,117.000 km,110 cv en Valladolid,Automática secuencial,5 puertas,5,110 cv,Gris,179 gr/m,Gasolina,SÍ,Profesional,Monovolumen,159 cm,403 cm,170 cm,305 l,184 km/h,"10,2 l","6,1 l","7,6 l",1.235 kg,51 l,"12,5 s"
Ford S-max S-max 2.0tdci Titanium 140,13.490€,2014,120.000 km,140 cv en Valencia,Manual,5 puertas,5,140 cv,Blanco,139 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,477 cm,188 cm,854 l,196 km/h,"7,2 l","4,9 l","5,7 l",1.688 kg,70 l,"10,2 s"
Seat Altea Xl 1.6tdi Cr S&s Style E-eco.,8.990€,2011,115.000 km,105 cv en Asturias,Manual,5 puertas,5,105 cv,Negro,119 gr/m,Diesel,SÍ,Profesional,Monovolumen,158 cm,447 cm,177 cm,532 l,183 km/h,"5,2 l","4,1 l","4,5 l",1.480 kg,55 l,"12,4 s"
Volkswagen Touran 1.6tdi Business And Navi Edition 85kw,15.495€,2017,128.926 km,115 cv en Sevilla,Manual,5 puertas,7,115 cv,Blanco,120 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,453 cm,183 cm,137 l,190 km/h,"5,3 l","4,1 l","4,5 l",1.539 kg,58 l,"11,4 s"
Mercedes Clase B B 200 7g-dct,34.295€,2021,NUEVO,163 cv en Madrid,Automática secuencial,5 puertas,5,163 cv,Gris,124 gr/m,Gasolina,SÍ,Profesional,Monovolumen,156 cm,442 cm,180 cm,455 l,223 km/h,"7,4 l","3,9 l","5,4 l",1.410 kg,43 l,"8,2 s"
Renault Scénic 1.5dci Energy Expression 110,9.700€,06/2014,123.000 km,110 cv en Vizcaya,Manual,5 puertas,5,110 cv,Blanco,105 gr/m,Diesel,SÍ,Profesional,Monovolumen,164 cm,437 cm,185 cm,437 l,180 km/h,"4,5 l","3,9 l","4,1 l",1.434 kg,60 l,"12,5 s"
Bmw Serie 2 218d Gran Tourer 7 Plazas,18.300€,2018,90.120 km,150 cv en Valencia,Automática,5 puertas,7,150 cv,Negro,121 gr/m,Diesel,SÍ,Profesional,Monovolumen,161 cm,457 cm,180 cm,645 l,207 km/h,"5,3 l","4,2 l","4,6 l",1.515 kg,51 l,"9,4 s"
Ford S-max S-max 2.0tdci Titanium 150,16.500€,2015,67.000 km,150 cv en Navarra,Manual,5 puertas,7,150 cv,Blanco,129 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,480 cm,192 cm,285 l,198 km/h,"5,6 l","4,6 l","5,0 l",1.725 kg,70 l,"10,8 s"
Toyota Verso 130 Advance 7pl.,12.500€,2017,67.000 km,132 cv en Valencia,Manual,5 puertas,7,132 cv,Gris,154 gr/m,Gasolina,SÍ,Profesional,Monovolumen,163 cm,446 cm,179 cm,155 l,185 km/h,"8,3 l","5,6 l","6,6 l",1.430 kg,60 l,"11,7 s"
Honda Jazz 1.5 I-mmd Crosstar,28.756€,01/2021,0 km,109 cv en Valencia,Automática continua,5 puertas,5,109 cv,Blanco taffeta,82 gr/m,Híbrido,SÍ,Profesional,Monovolumen,156 cm,409 cm,173 cm,304 l,190 km/h,"2,4 l","4,3 l","3,6 l",1.300 kg,40 l,"11,2 s"
Citroen C4 Grand Picasso 1.6bluehdi S&s Feel 100,12.400€,2017,136.000 km,99 cv en Cordoba,Manual,5 puertas,7,99 cv,Gris,100 gr/m,Diesel,SÍ,Profesional,Monovolumen,164 cm,460 cm,183 cm,643 l,172 km/h,"4,5 l","3,5 l","3,8 l",1.395 kg,57 l,"13,1 s"
"Fiat Talento 1.6 Ecojet Sx Largo 1,2 89kw",18.490€,01/2019,20.022 km,120 cv en Valencia,Manual,5 puertas,5,120 cv,Gris claro,165 gr/m,Diesel,SÍ,Profesional,Monovolumen,197 cm,540 cm,196 cm,1.800 l,169 km/h,"8,3 l","5,3 l","6,3 l",1.924 kg,80 l,"0,0 s"
Volkswagen Touran 1.6tdi Cr Bmt Advance 85kw,12.700€,2016,168.000 km,115 cv en Zaragoza,Manual,5 puertas,7,115 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,453 cm,183 cm,137 l,190 km/h,"5,3 l","4,1 l","4,5 l",1.539 kg,58 l,"11,4 s"
