title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Mini Countryman Mini Cooper Sd,11.390€,2011,96.284 km,143 cv en Madrid,Manual,5 puertas,5,143 cv,Gris,122 gr/m,Diesel,SÍ,Profesional,Todo Terreno,156 cm,411 cm,179 cm,350 l,198 km/h,"5,2 l","4,3 l","4,6 l",1.320 kg,47 l,"9,3 s"
Ssangyong Korando G15 Urban 4x2,19.500€,2020,22.000 km,163 cv en Jaen,Manual,5 puertas,5,163 cv,Blanco,156 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,445 cm,187 cm,551 l,191 km/h,"7,1 l","3,8 l","5,5 l",1.405 kg,50 l,"0,0 s"
Hyundai Kona Hev 1.6 Gdi Dt Klass,20.280€,2020,NUEVO,141 cv en Madrid,Automática secuencial,5 puertas,5,141 cv,Negro,90 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,157 cm,417 cm,180 cm,361 l,160 km/h,"0,0 l","0,0 l","0,0 l",1.376 kg,38 l,"11,2 s"
Ssangyong Korando G15 Line 4x2,19.800€,2021,200 km,163 cv en Jaen,Manual,5 puertas,5,163 cv,Gris,156 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,445 cm,187 cm,551 l,191 km/h,"7,1 l","3,8 l","5,5 l",1.405 kg,50 l,"0,0 s"
Renault Kadjar 1.3 Tce Gpf Zen 103kw,14.590€,03/2019,38.503 km,140 cv,Manual,5 puertas,5,140 cv,Negro,131 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,449 cm,184 cm,472 l,203 km/h,"7,4 l","5,0 l","5,9 l",1.442 kg,55 l,"10,4 s"
Dr Dr 3 Dr 3 1.5 Glp,15.900€,2019,1.350 km,106 cv en Alicante,Manual,5 puertas,5,106 cv,Blanco,157 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,157 cm,417 cm,176 cm,420 l,175 km/h,"9,5 l","6,6 l","7,7 l",1.215 kg,50 l,"11,5 s"
Dr Dr 4 Dr 4 1.6 Glp,17.900€,2019,46 km,114 cv en Alicante,Manual,5 puertas,5,114 cv,Rojo,150 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,433 cm,177 cm,600 l,180 km/h,"9,4 l","6,3 l","7,4 l",1.320 kg,45 l,"10,5 s"
Dr Dr 5 Dr 5 Evo 1.6 Glp,16.900€,2019,0 km,126 cv en Alicante,Manual,5 puertas,5,126 cv,Beige,160 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,167 cm,442 cm,176 cm,430 l,175 km/h,"9,2 l","5,8 l","7,1 l",1.420 kg,55 l,"11,5 s"
Volkswagen Tiguan 2.0tdi Bmt Country 4motion 140,12.600€,2012,110.000 km,140 cv en Lleida,Manual,5 puertas,5,140 cv,Azul,150 gr/m,Diesel,SÍ,Profesional,Todo Terreno,170 cm,443 cm,181 cm,470 l,190 km/h,"6,9 l","5,1 l","5,8 l",1.651 kg,64 l,"6,9 s"
Nissan Qashqai 1.6dci Acenta 4x4-i,13.000€,2016,102.400 km,130 cv en Cadiz,Manual,5 puertas,5,130 cv,Blanco,129 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,438 cm,181 cm,430 l,190 km/h,"5,6 l","4,5 l","4,9 l",1.518 kg,65 l,"10,5 s"
Mahindra Quanto 2.2 D 4x2,10.990€,2018,32.620 km,120 cv en Burgos,Manual,5 puertas,7,120 cv,Rojo,215 gr/m,Diesel,SÍ,Profesional,Todo Terreno,190 cm,399 cm,184 cm,0 l,0 km/h,"10,5 l","5,6 l","8,1 l",1.750 kg,55 l,"0,0 s"
Nissan Qashqai 1.6dci Acenta 4x2,14.300€,01/2016,52.577 km,130 cv en Illes Balears,Manual,5 puertas,5,130 cv,Blanco,116 gr/m,Diesel,SÍ,Profesional,Todo Terreno,159 cm,438 cm,181 cm,430 l,190 km/h,"5,2 l","3,9 l","4,4 l",1.419 kg,55 l,"9,9 s"
Land Rover Discovery 3.0td6 Hse Luxury Aut.,41.500€,2018,106.000 km,258 cv en Albacete,Automática secuencial,5 puertas,5,258 cv,Negro,189 gr/m,Diesel,SÍ,Profesional,Todo Terreno,185 cm,497 cm,207 cm,258 l,194 km/h,"8,3 l","6,5 l","7,2 l",2.230 kg,89 l,"9,4 s"
Porsche Cayenne S Aut.,48.500€,2016,69.999 km,421 cv en Cordoba,Automática secuencial,5 puertas,5,421 cv,Negro,223 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,171 cm,486 cm,194 cm,670 l,259 km/h,"12,4 l","7,8 l","9,5 l",2.085 kg,85 l,"5,5 s"
Lexus Ux Ux 250h Business 2wd,29.850€,10/2020,5.000 km,184 cv en Madrid,Automática continua,5 puertas,5,184 cv,Azul,96 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,154 cm,450 cm,184 cm,320 l,177 km/h,"5,3 l","3,4 l","4,1 l",1.615 kg,43 l,"8,5 s"
Volkswagen Touareg 2.5tdi R5,9.900€,2008,149.000 km,174 cv en Malaga,Manual,5 puertas,5,174 cv,Negro,243 gr/m,Diesel,SÍ,Profesional,Todo Terreno,173 cm,475 cm,193 cm,555 l,188 km/h,"13,2 l","8,3 l","10,1 l",2.247 kg,100 l,"11,5 s"
Toyota Rav-4 Rav-4 2.5 Hybrid 2wd Advance,20.900€,2018,93.179 km,197 cv en Cadiz,Automática continua,5 puertas,5,197 cv,Blanco,122 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,168 cm,461 cm,185 cm,547 l,185 km/h,"5,0 l","4,8 l","5,3 l",1.700 kg,56 l,"8,3 s"
