title,brand,model,c_months,km_year,fuel_type,color,gearbox,doors,seats,warranty,maintenance,tires,status,chassis,power,co2_emiss,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acc,price
TOYOTA Yaris,TOYOTA,YARIS,60,20000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,295
TOYOTA Yaris,TOYOTA,YARIS,48,20000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,291
TOYOTA Yaris,TOYOTA,YARIS,36,20000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,303
TOYOTA Yaris,TOYOTA,YARIS,60,15000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,276
TOYOTA Yaris,TOYOTA,YARIS,48,15000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,276
TOYOTA Yaris,TOYOTA,YARIS,36,15000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,293
TOYOTA Yaris,TOYOTA,YARIS,60,10000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,267
TOYOTA Yaris,TOYOTA,YARIS,48,10000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,255
TOYOTA Yaris,TOYOTA,YARIS,36,10000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,269
VOLKSWAGEN T-Roc,VOLKSWAGEN,T-ROC,48,20000,Gasoline,OTHER,Automatic,5,5,Included,Included,Incluido,New,Offroad,150,121,157.3,423.4,181.9,445,205,6.6,4.7,5.3,1330,50,8.0,374
VOLKSWAGEN T-Roc,VOLKSWAGEN,T-ROC,60,20000,Gasoline,OTHER,Automatic,5,5,Included,Included,Incluido,New,Offroad,150,121,157.3,423.4,181.9,445,205,6.6,4.7,5.3,1330,50,8.0,383
VOLKSWAGEN T-Roc,VOLKSWAGEN,T-ROC,36,20000,Gasoline,OTHER,Automatic,5,5,Included,Included,Incluido,New,Offroad,150,121,157.3,423.4,181.9,445,205,6.6,4.7,5.3,1330,50,8.0,379
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,36,40000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,300
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,60000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,429
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,55000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,394
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,50000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,374
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,45000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,335
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,40000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,324
VOLKSWAGEN Polo,VOLKSWAGEN,POLO,24,25000,Gasoline,OTHER,Manual,5,5,Included,Included,Incluido,New,Sedan,95,104,146.1,405.3,175.1,355,187,5.5,4.0,4.6,1145,40,10.0,293
TOYOTA Yaris,TOYOTA,YARIS,60,40000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,317
TOYOTA Yaris,TOYOTA,YARIS,48,50000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,355
TOYOTA Yaris,TOYOTA,YARIS,48,45000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,340
TOYOTA Yaris,TOYOTA,YARIS,48,40000,Hybrid,OTHER,Automatic,5,5,Included,Included,Incluido,New,Sedan,116,64,150.0,394.0,174.5,270,175,0.0,0.0,2.8,1065,36,10.0,325
