title,price,contract_months,km_year,fuel_type,color,warranty,maintenance,tires,power,co2_emiss,doors,gear,status,chassis,height,length,width,trunk_vol,max_speed,seats,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
TOYOTA Yaris,295,60,20.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,291,48,20.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,303,36,20.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,276,60,15.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,276,48,15.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,293,36,15.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,267,60,10.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,255,48,10.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
TOYOTA Yaris,269,36,10.000,Híbrido,Consultar,Incluido,Incluido,Incluido,116cv(85Kw),64 Co gr/km,5,Automática continua,Nuevo,Berlina,"150,0 cm","394,0 cm","174,5 cm",270 l,175 km/h,5,"0,0 l","0,0 l","2,8 l",1.065 kg,36 l,"10,0 s"
VOLKSWAGEN T-Roc,374,48,20.000,Gasolina,Consultar,Incluido,Incluido,Incluido,150cv(110Kw),121 Co gr/km,5,Automática secuencial,Nuevo,Todo Terreno,"157,3 cm","423,4 cm","181,9 cm",445 l,205 km/h,5,"6,6 l","4,7 l","5,3 l",1.330 kg,50 l,"8,0 s"
