title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Fiat 500 E 87kw Ñ-edition,19.200€,2016,32.500 km,118 cv en Burgos,"Directo, sin caja de cambios",3 puertas,4,118 cv,Gris,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,153 cm,363 cm,168 cm,185 l,150 km/h,"0,0 l","0,0 l","0,0 l",980 kg,0 l,"9,0 s"
Fiat Panda 1.2 Pop,3.990€,2014,85.000 km,"69 cv en Palmas, Las",Manual,5 puertas,4,69 cv,Beige,120 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,7 l","4,3 l","5,2 l",940 kg,37 l,"14,2 s"
Renault Twingo 1.2 16v Dynamique Eco2,3.750€,2009,26.000 km,75 cv en Barcelona,Manual,3 puertas,4,75 cv,Negro,119 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,360 cm,165 cm,230 l,170 km/h,"7,5 l","4,7 l","5,7 l",950 kg,40 l,"12,0 s"
Fiat 500 1.2 Glp Lounge,9.100€,2019,12.000 km,69 cv en Illes Balears,Manual,3 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,165 l,160 km/h,"9,2 l","5,9 l","7,1 l",865 kg,35 l,"12,9 s"
Opel Adam 1.4 Xel S&s Glam,8.300€,2018,10.700 km,87 cv en Granada,Manual,3 puertas,4,87 cv,Marrón,118 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,370 cm,172 cm,170 l,176 km/h,"6,6 l","4,2 l","5,1 l",1.120 kg,38 l,"12,5 s"
Kia Picanto 1.0 Concept,5.900€,2016,19.800 km,66 cv en Pontevedra,Manual,5 puertas,5,66 cv,Negro,105 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,360 cm,160 cm,200 l,158 km/h,"5,8 l","3,8 l","4,5 l",855 kg,35 l,"14,6 s"
Fiat 500 1.0 Gse S,9.900€,2020,1.120 km,70 cv en Pontevedra,Manual,3 puertas,4,70 cv,Azul,88 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,167 km/h,"6,1 l","3,9 l","4,7 l",980 kg,35 l,"13,8 s"
Opel Adam 1.4 Xel S&s Glam,7.700€,2017,61.900 km,87 cv en Valencia,Manual,3 puertas,4,87 cv,Blanco,118 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,370 cm,172 cm,170 l,176 km/h,"6,6 l","4,2 l","5,1 l",1.120 kg,38 l,"12,5 s"
Suzuki Alto 1.0 Gl,4.870€,2010,29.000 km,68 cv en Barcelona,Manual,5 puertas,4,68 cv,Blanco,103 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,350 cm,160 cm,129 l,155 km/h,"5,5 l","3,8 l","4,4 l",855 kg,35 l,"14,0 s"
Fiat 500 1.2 Lounge,10.350€,05/2018,51.168 km,69 cv en Valencia,Manual,3 puertas,4,69 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Smart Fortwo Coupé Electric Drive,11.900€,2017,34.500 km,82 cv,Automática,3 puertas,2,82 cv,Negro,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,230 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.085 kg,0 l,"11,5 s"
Fiat 500 1.2 Lounge,9.900€,2019,16.000 km,69 cv en Sevilla,Manual,3 puertas,4,69 cv,Rojo,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Fiat 500 1.0 Gse Pop,11.390€,03/2020,2.950 km,70 cv en Madrid,Manual,3 puertas,4,70 cv,Rojo passione (sólido),88 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,167 km/h,"6,1 l","3,9 l","4,7 l",980 kg,35 l,"13,8 s"
Toyota Aygo 70 X-play,9.995€,2020,3.537 km,72 cv en Cadiz,Manual,5 puertas,4,72 cv,Gris,93 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"13,8 s"
Fiat 500 1.2 Lounge,9.500€,09/2018,45.855 km,69 cv en Zaragoza,Manual,3 puertas,4,69 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Fiat 500 1.2 Lounge,8.990€,06/2019,15.474 km,69 cv en Madrid,Manual,3 puertas,4,69 cv,Azul dipinto di blu (metalizad,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Toyota Aygo 70 X-play,7.900€,2020,1.800 km,72 cv en Barcelona,Manual,5 puertas,4,72 cv,Azul,93 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"13,8 s"
Fiat 500 1.2 S,7.900€,2017,61.000 km,69 cv en Malaga,Manual,3 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Fiat Panda 1.2 Lounge,6.900€,2014,53.000 km,"69 cv en Coruña, A",Manual,5 puertas,4,69 cv,Azul,120 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,7 l","4,3 l","5,2 l",940 kg,37 l,"14,2 s"
Fiat 500 1.2 Lounge,8.910€,2019,16.980 km,69 cv en Illes Balears,Manual,3 puertas,4,69 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Smart Fortwo Coupé 52 Passion Aut.,4.300€,2007,151.000 km,71 cv en Valencia,Automática,3 puertas,2,71 cv,Rojo,112 gr/m,Gasolina,SÍ,Profesional,Berlina,154 cm,270 cm,156 cm,220 l,145 km/h,"6,1 l","4,0 l","4,7 l",825 kg,33 l,"0,0 s"
Opel Adam 1.4 Xel S&s Glam,7.900€,2016,79.734 km,87 cv en Alicante,Manual,3 puertas,4,87 cv,Gris,118 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,370 cm,172 cm,170 l,176 km/h,"6,6 l","4,2 l","5,1 l",1.120 kg,38 l,"12,5 s"
Abarth 595 Abarth 1.4t-jet Monster Energy Yamaha 121kw,20.959€,2021,NUEVO,165 cv en Sevilla,Manual,3 puertas,4,165 cv,Azul,157 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,366 cm,163 cm,185 l,218 km/h,"8,8 l","5,8 l","6,8 l",1.065 kg,35 l,"7,3 s"
Fiat Panda 1.2 Pop,9.400€,2020,5.000 km,69 cv en Cadiz,Manual,5 puertas,4,69 cv,Gris,118 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,6 l","4,7 l","5,4 l",1.055 kg,37 l,"14,8 s"
Fiat 500 1.2 Lounge,8.500€,2017,51.811 km,69 cv,Manual,3 puertas,4,69 cv,Azul,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
