title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Smart Fortwo Cabrio 52 Mhd Pure Aut.,5.500€,2014,37.125 km,71 cv en Alicante,Automática,2 puertas,2,71 cv,Blanco,99 gr/m,Gasolina,SÍ,Profesional,Convertible,157 cm,270 cm,156 cm,0 l,145 km/h,"4,6 l","4,0 l","4,3 l",780 kg,33 l,"13,7 s"
Volkswagen Scirocco 2.0 Tsi,10.900€,02/2009,0 km,200 cv en Barcelona,Manual,3 puertas,4,200 cv,Blanco,179 gr/m,Gasolina,SÍ,Profesional,Coupe,140 cm,426 cm,181 cm,292 l,235 km/h,"9,9 l","6,1 l","7,6 l",1.373 kg,55 l,"7,2 s"
Bmw Serie 2 218da Gran Coupé,36.100€,02/2021,NUEVO,150 cv en Cantabria,Automática secuencial,4 puertas,5,150 cv,Saphirschwarz (metalizado),109 gr/m,Diesel,SÍ,Profesional,Coupe,142 cm,453 cm,180 cm,430 l,222 km/h,"5,4 l","2,9 l","4,2 l",1.545 kg,42 l,"8,5 s"
Bmw X4 Xdrive 20d,28.000€,2017,85.000 km,190 cv en Girona,Automática,5 puertas,5,190 cv,Blanco,142 gr/m,Diesel,SÍ,Profesional,Coupe,162 cm,467 cm,188 cm,500 l,212 km/h,"6,1 l","5,0 l","5,4 l",1.740 kg,67 l,"8,0 s"
Dodge Viper Srt-10,27.990€,2005,95.017 km,506 cv,Automática secuencial,2 puertas,2,506 cv,Rojo,488 gr/m,Gasolina,SÍ,Profesional,Coupe,123 cm,446 cm,191 cm,0 l,0 km/h,"27,3 l","14,7 l","21,0 l",1.546 kg,70 l,"3,9 s"
Lexus Rc Rc 300h Executive,25.750€,06/2017,52.000 km,223 cv en Madrid,Automática continua,2 puertas,4,223 cv,Blanco,111 gr/m,Híbrido,SÍ,Profesional,Coupe,140 cm,470 cm,184 cm,340 l,0 km/h,"0,0 l","0,0 l","5,0 l",1.740 kg,66 l,"9,0 s"
Mercedes Clase C C Coupé 220cdi Be,14.500€,2013,131.350 km,"170 cv en Rioja, La",Manual,2 puertas,4,170 cv,Negro,117 gr/m,Diesel,SÍ,Profesional,Coupe,141 cm,459 cm,177 cm,475 l,232 km/h,"5,6 l","3,7 l","4,4 l",1.615 kg,59 l,"8,4 s"
Audi A7 Sportback 3.0tdi Quattro S-tronic 200kw,35.800€,2017,77.873 km,"272 cv en Rioja, La",Automática secuencial,5 puertas,4,272 cv,Gris,138 gr/m,Diesel,SÍ,Profesional,Coupe,142 cm,497 cm,191 cm,535 l,250 km/h,"6,0 l","4,8 l","5,2 l",1.905 kg,73 l,"5,7 s"
Mercedes Clase Cla Cla 220d,35.000€,2019,20.000 km,190 cv en Girona,Automática secuencial,4 puertas,5,190 cv,Blanco,115 gr/m,Diesel,SÍ,Profesional,Coupe,144 cm,469 cm,183 cm,460 l,244 km/h,"5,6 l","3,0 l","4,4 l",1.560 kg,51 l,"7,1 s"
Volkswagen Cc Volkswagen Cc 2.0tdi Bmt Advance 140,17.500€,2015,74.348 km,140 cv en Burgos,Manual,4 puertas,4,140 cv,Blanco,119 gr/m,Diesel,SÍ,Profesional,Coupe,142 cm,480 cm,186 cm,532 l,214 km/h,"5,3 l","4,1 l","4,5 l",1.470 kg,70 l,"9,8 s"
Bmw X4 Xdrive 20da,27.900€,2015,93.500 km,190 cv en Valencia,Automática secuencial,5 puertas,5,190 cv,Gris,136 gr/m,Diesel,SÍ,Profesional,Coupe,162 cm,467 cm,188 cm,500 l,212 km/h,"5,6 l","4,9 l","5,2 l",1.750 kg,67 l,"8,0 s"
Mercedes Clase C C Coupé 220d,29.990€,2018,61.850 km,170 cv en Valencia,Automática,2 puertas,4,170 cv,Negro,106 gr/m,Diesel,SÍ,Profesional,Coupe,141 cm,469 cm,181 cm,380 l,234 km/h,"5,0 l","3,6 l","4,1 l",1.605 kg,66 l,"7,8 s"
Mercedes Clase Sl Sl 400 Aut.,66.900€,2015,16.000 km,333 cv en Malaga,Automática secuencial,2 puertas,2,333 cv,Negro,179 gr/m,Gasolina,SÍ,Profesional,Roadster,132 cm,462 cm,188 cm,241 l,250 km/h,"10,2 l","6,2 l","7,7 l",1.730 kg,75 l,"5,2 s"
Fiat 500 C 1.2 Lounge,8.700€,01/2017,51.091 km,69 cv en Illes Balears,Manual,2 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Convertible,149 cm,357 cm,163 cm,182 l,160 km/h,"6,4 l","4,3 l","5,1 l",905 kg,35 l,"13,4 s"
Mercedes Clase Cla Cla 200d Urban,18.999€,2016,136.000 km,136 cv en Almeria,Manual,4 puertas,5,136 cv,Blanco,114 gr/m,Diesel,SÍ,Profesional,Coupe,143 cm,463 cm,178 cm,470 l,220 km/h,"5,5 l","3,7 l","4,4 l",1.500 kg,50 l,"9,5 s"
Bmw Serie 4 420ia Cabrio Sport,40.584€,03/2019,7.812 km,184 cv en Madrid,Automática secuencial,2 puertas,4,184 cv,Azul marino,149 gr/m,Gasolina,SÍ,Profesional,Convertible,138 cm,464 cm,183 cm,220 l,230 km/h,"8,6 l","5,2 l","6,4 l",1.675 kg,60 l,"8,3 s"
Bmw X4 Xdrive 20da,26.500€,2014,104.548 km,190 cv en Ciudad Real,Automática secuencial,5 puertas,5,190 cv,Blanco,136 gr/m,Diesel,SÍ,Profesional,Coupe,162 cm,467 cm,188 cm,500 l,212 km/h,"5,6 l","4,9 l","5,2 l",1.750 kg,67 l,"8,0 s"
Bmw Serie 4 420da Gran Coupé,34.326€,11/2018,23.690 km,184 cv en Madrid,Automática secuencial,5 puertas,5,184 cv,Azul marino,121 gr/m,Diesel,SÍ,Profesional,Coupe,139 cm,464 cm,183 cm,480 l,231 km/h,"5,4 l","4,1 l","4,6 l",1.525 kg,57 l,"7,5 s"
Mercedes Clase Gle Gle Coupé 350d 4matic Aut.,38.900€,2015,170.000 km,258 cv en Sevilla,Automática secuencial,5 puertas,5,258 cv,Blanco,189 gr/m,Diesel,SÍ,Profesional,Coupe,173 cm,490 cm,200 cm,650 l,226 km/h,"8,0 l","6,7 l","7,2 l",2.250 kg,93 l,"7,0 s"
Porsche 911 Turbo Coupé Pdk,105.900€,2013,92.000 km,520 cv en Barcelona,Automática secuencial,2 puertas,4,520 cv,Rojo,227 gr/m,Gasolina,SÍ,Profesional,Coupe,130 cm,451 cm,188 cm,115 l,314 km/h,"13,2 l","7,7 l","9,7 l",1.595 kg,68 l,"3,4 s"
Bmw X6 Xdrive 30da,29.900€,2013,92.000 km,245 cv en Barcelona,Automática secuencial,5 puertas,4,245 cv,Blanco,195 gr/m,Diesel,SÍ,Profesional,Coupe,169 cm,488 cm,198 cm,570 l,210 km/h,"8,7 l","6,7 l","7,4 l",2.075 kg,85 l,"7,5 s"
Mercedes Clase Cla Cla 200d Urban,19.800€,2016,75.000 km,136 cv en Cadiz,Manual,4 puertas,5,136 cv,Negro,114 gr/m,Diesel,SÍ,Profesional,Coupe,143 cm,463 cm,178 cm,470 l,220 km/h,"5,5 l","3,7 l","4,4 l",1.500 kg,50 l,"9,5 s"
Mercedes Clase Glc Glc Coupé 300de 4matic,59.500€,10/2020,4.000 km,317 cv en Barcelona,Automática secuencial,5 puertas,5,317 cv,Gris grafito,45 gr/m,Híbrido,SÍ,Profesional,Coupe,162 cm,473 cm,189 cm,500 l,230 km/h,"0,0 l","0,0 l","0,0 l",2.135 kg,57 l,"6,2 s"
Mercedes Clase E E Coupé 350bluetec Aut.,28.990€,2015,120.000 km,258 cv en Vizcaya,Automática secuencial,2 puertas,4,258 cv,Negro,143 gr/m,Diesel,SÍ,Profesional,Coupe,140 cm,470 cm,179 cm,450 l,250 km/h,"6,8 l","4,7 l","5,4 l",1.805 kg,66 l,"6,4 s"
