title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Fiat Fiorino Comercial Fiorino Combi 1.3mjt 5pl. Base 75,6.500€,2015,120.133 km,75 cv en Alicante,Manual,5 puertas,5,75 cv,Blanco,118 gr/m,Diesel,SÍ,Profesional,Combi,172 cm,386 cm,172 cm,0 l,157 km/h,"5,7 l","3,8 l","4,5 l",1.300 kg,45 l,"0,0 s"
Renault Kangoo Z.e. Fg.,5.929€,10/2012,82.001 km,60 cv en Asturias,"Directo, sin caja de cambios",3 puertas,2,60 cv,Amarillo,0 gr/m,Eléctrico,SÍ,Profesional,Furgon,181 cm,421 cm,183 cm,0 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.410 kg,0 l,"20,3 s"
Citroen Berlingo Piso Cabina 1.6hdi 90,7.260€,2015,120.000 km,90 cv en Vizcaya,Manual,2 puertas,2,90 cv,Blanco,146 gr/m,Diesel,SÍ,Profesional,Chasis,180 cm,424 cm,181 cm,0 l,160 km/h,"6,0 l","5,0 l","5,4 l",1.504 kg,60 l,"13,9 s"
Mercedes Vito Furgón 111cdi Larga,16.488€,2019,36.257 km,114 cv en Sevilla,Manual,4 puertas,2,114 cv,Blanco,169 gr/m,Diesel,SÍ,Profesional,Furgon,191 cm,514 cm,193 cm,0 l,0 km/h,"7,9 l","5,6 l","6,4 l",1.761 kg,57 l,"0,0 s"
Renault Kangoo Z.e. Fg.,6.413€,10/2013,83.001 km,60 cv en Asturias,"Directo, sin caja de cambios",3 puertas,2,60 cv,Amarillo,0 gr/m,Eléctrico,SÍ,Profesional,Furgon,181 cm,421 cm,183 cm,0 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.410 kg,0 l,"20,3 s"
Volkswagen Caddy 1.2 Tsi Bmt Trendline 105,10.000€,2015,151.000 km,105 cv en Lleida,Manual,5 puertas,5,105 cv,Azul,147 gr/m,Gasolina,SÍ,Profesional,Combi,182 cm,441 cm,179 cm,0 l,169 km/h,"8,0 l","5,9 l","6,7 l",1.452 kg,60 l,"12,4 s"
Volkswagen Caravelle Comercial Caravelle 2.0tdi Trendline,25.895€,03/2019,23.325 km,102 cv en Valencia,Manual,4 puertas,7,102 cv,Negro,193 gr/m,Diesel,SÍ,Profesional,Combi,199 cm,489 cm,190 cm,0 l,157 km/h,"9,7 l","6,3 l","7,5 l",1.790 kg,80 l,"17,9 s"
Mercedes Vito 110cdi L Larga,8.000€,01/2012,248.776 km,95 cv en Teruel,Manual,4 puertas,7,95 cv,Blanco,198 gr/m,Diesel,SÍ,Profesional,Combi,188 cm,501 cm,190 cm,600 l,158 km/h,"9,2 l","6,5 l","7,5 l",1.985 kg,75 l,"18,1 s"
Peugeot Partner Furgón 1.6bluehdi Confort L1 75,8.350€,2016,81.000 km,75 cv en Sevilla,Manual,3 puertas,2,75 cv,Blanco,112 gr/m,Diesel,SÍ,Profesional,Furgon,180 cm,438 cm,181 cm,0 l,155 km/h,"5,1 l","3,8 l","4,3 l",1.292 kg,53 l,"14,2 s"
Nissan Nv250 Nv250 Furgón 1.5dci Comfort L2h1 4pl. 95,14.850€,01/2020,1 km,95 cv en Alicante,Manual,5 puertas,4,95 cv,Blanco mineral gris,128 gr/m,Diesel,SÍ,Profesional,Furgon,180 cm,467 cm,185 cm,0 l,163 km/h,"5,1 l","4,4 l","4,7 l",1.406 kg,60 l,"13,8 s"
