iter	R2	RMSE
0	0.1753009021	11708.80357
1	0.3153411232	10668.46365
2	0.4240330822	9785.060833
3	0.5168627097	8961.898893
4	0.5877990431	8277.882512
5	0.6463333844	7667.641399
6	0.6943544925	7128.099753
7	0.7325220525	6668.202059
8	0.7642778903	6259.864318
9	0.7901169284	5906.816318
10	0.8111729609	5602.693336
11	0.8285404517	5338.823924
12	0.843060656	5107.762283
13	0.8555702805	4899.965748
14	0.8653874057	4730.506106
15	0.8738572746	4579.265935
16	0.880985485	4447.999461
17	0.886816364	4337.670722
18	0.8917498939	4242.080696
19	0.8958659486	4160.649609
20	0.8995384491	4086.624172
21	0.9032074904	4011.304544
22	0.9060025307	3952.963834
23	0.9085123862	3899.832108
24	0.9107116634	3852.672798
25	0.9124826379	3814.273845
26	0.9141161983	3778.508387
27	0.9156674578	3744.228602
28	0.9166963117	3721.318788
29	0.9180679481	3690.55495
30	0.9192771141	3663.220833
31	0.9203022624	3639.885792
32	0.9213024435	3616.97398
33	0.9220093395	3600.692711
34	0.9229754262	3578.321949
35	0.9237110795	3561.192869
36	0.9244715921	3543.397916
37	0.9252425784	3525.266202
38	0.9257332001	3513.679266
39	0.9265754986	3493.697212
40	0.9272524258	3477.555089
41	0.9278536671	3463.154691
42	0.9282652064	3453.263251
43	0.928793539	3440.522966
44	0.9294877532	3423.710517
45	0.9301041683	3408.712701
46	0.9306280443	3395.91436
47	0.9312037546	3381.793841
48	0.9315860705	3372.384063
49	0.9321831733	3357.635072
50	0.9326713765	3345.527686
51	0.932965619	3338.209295
52	0.9334339627	3326.527457
53	0.9340405278	3311.33673
54	0.9345273837	3299.093378
55	0.9348971888	3289.763149
56	0.9353542714	3278.194199
57	0.9357500628	3268.143473
58	0.9362807395	3254.618764
59	0.9366966314	3243.98002
60	0.9370125336	3235.875696
61	0.937286262	3228.836872
62	0.9376453605	3219.57945
63	0.9380159864	3209.99686
64	0.9383625214	3201.011192
65	0.9385929443	3195.022329
66	0.9388112634	3189.337678
67	0.9390978007	3181.861329
68	0.9395077138	3171.135207
69	0.9397725507	3164.185934
70	0.9401276282	3154.844743
71	0.9404832324	3145.461896
72	0.9407969997	3137.159637
73	0.9410751436	3129.781556
74	0.9413608501	3122.184714
75	0.9417486297	3111.844116
76	0.9421434603	3101.280069
77	0.9424150268	3093.993129
78	0.942630729	3088.19294
79	0.9427937975	3083.800821
80	0.9430063968	3078.065218
81	0.9433092189	3069.877039
82	0.9435204939	3064.151297
83	0.9437363832	3058.289429
84	0.9438709935	3054.628772
85	0.9441133928	3048.025759
86	0.9443707115	3041.000651
87	0.9446487881	3033.390534
88	0.9450095866	3023.488024
89	0.9452204051	3017.686837
90	0.9454432806	3011.54172
91	0.9456419693	3006.05289
92	0.9459481442	2997.575048
93	0.9461377457	2992.313027
94	0.9464174744	2984.532761
95	0.9467576634	2975.043455
96	0.9468971468	2971.143915
97	0.9470827405	2965.947319
98	0.9472805681	2960.39813
99	0.9474630753	2955.269449
100	0.9477017401	2948.549205
101	0.9479408844	2941.800066
102	0.9481496784	2935.894785
103	0.9483265912	2930.881882
104	0.948482257	2926.463921
105	0.9486471024	2921.778151
106	0.9488303373	2916.560821
107	0.9490648431	2909.869982
108	0.9493407229	2901.978927
109	0.9494836018	2897.883683
110	0.9497157929	2891.216165
111	0.9498599594	2887.068585
112	0.9499953106	2883.169182
113	0.9501903114	2877.542016
114	0.950376225	2872.166814
115	0.9505618886	2866.78878
116	0.9506934769	2862.971006
117	0.9508688709	2857.874366
118	0.9510466451	2852.699268
119	0.9512065927	2848.035074
120	0.9513938906	2842.563599
121	0.9515368224	2838.381082
122	0.9517398296	2832.430001
123	0.951973485	2825.564966
124	0.9520917072	2822.085113
125	0.9521820767	2819.422206
126	0.9522811751	2816.49919
127	0.9524807722	2810.602625
128	0.9526069037	2806.870021
129	0.952739259	2802.947888
130	0.9528516928	2799.611782
131	0.9530105458	2794.89155
132	0.9531861366	2789.66467
133	0.9532829928	2786.777318
134	0.9533794257	2783.899609
135	0.9535493765	2778.820758
136	0.9536534119	2775.707152
137	0.953802096	2771.251213
138	0.9539199374	2767.714509
139	0.9540412513	2764.068859
140	0.9541849084	2759.745539
141	0.9543148613	2755.8288
142	0.9544693617	2751.16495
143	0.9546266343	2746.409282
144	0.9547214741	2743.537497
