iter	Passed	Remaining
0	19	19355
1	35	17854
2	57	19079
3	73	18263
4	87	17399
5	100	16721
6	115	16360
7	133	16546
8	148	16325
9	163	16167
10	178	16019
11	193	15943
12	209	15935
13	226	15929
14	247	16259
15	261	16103
16	277	16073
17	298	16295
18	319	16518
19	336	16510
20	352	16426
21	367	16316
22	382	16252
23	404	16441
24	420	16412
25	436	16353
26	453	16327
27	468	16257
28	486	16304
29	506	16366
30	523	16378
31	538	16294
32	552	16200
33	568	16153
34	583	16086
35	598	16019
36	611	15926
37	626	15861
38	643	15856
39	659	15824
40	675	15795
41	695	15860
42	709	15793
43	725	15769
44	741	15732
45	762	15812
46	787	15969
47	809	16062
48	824	16003
49	843	16023
50	860	16004
51	876	15978
52	891	15922
53	911	15970
54	929	15976
55	948	15988
56	971	16073
57	988	16046
58	1002	15989
59	1017	15943
60	1032	15897
61	1047	15854
62	1064	15825
63	1081	15814
64	1099	15812
65	1115	15791
66	1135	15806
67	1151	15779
68	1166	15740
69	1182	15704
70	1198	15685
71	1215	15670
72	1235	15684
73	1250	15642
74	1265	15611
75	1281	15582
76	1297	15549
77	1318	15589
78	1336	15576
79	1352	15549
80	1367	15520
81	1400	15679
82	1421	15710
83	1437	15675
84	1453	15644
85	1471	15638
86	1487	15609
87	1502	15573
88	1517	15530
89	1547	15650
90	1570	15690
91	1587	15670
92	1605	15661
93	1621	15625
94	1637	15597
95	1658	15621
96	1679	15637
97	1695	15608
98	1719	15647
99	1736	15624
100	1759	15662
101	1779	15666
102	1795	15636
103	1808	15580
104	1822	15532
105	1837	15497
106	1853	15465
107	1870	15447
108	1887	15430
109	1903	15398
110	1918	15364
111	1944	15417
112	1960	15390
113	1975	15351
114	1990	15315
115	2005	15283
116	2020	15245
117	2036	15218
118	2051	15189
119	2067	15164
120	2085	15147
121	2101	15124
122	2116	15089
123	2131	15058
124	2147	15031
125	2161	14991
126	2175	14955
127	2191	14926
128	2205	14890
129	2220	14861
130	2238	14848
131	2257	14843
132	2272	14816
133	2289	14799
134	2306	14779
135	2325	14771
136	2352	14817
137	2367	14790
138	2382	14755
139	2398	14732
140	2414	14708
141	2430	14682
142	2447	14667
143	2464	14648
144	2486	14663
145	2504	14647
146	2523	14644
147	2540	14625
148	2555	14597
149	2571	14572
150	2586	14543
151	2601	14515
152	2617	14488
153	2631	14454
154	2648	14440
155	2663	14412
156	2677	14378
157	2693	14353
158	2710	14338
